model,probe_op_floor,probe_op_best_layer,probe_op_best_acc,probe_op_margin,probe_task_floor,probe_task_best_layer,probe_task_best_acc,probe_task_margin,lens_task_emergence_layer,lens_task_final_top1,lens_op_emergence_layer,lens_op_final_top1,wd_rel_fro,wd_effective_rank,wd_overlap_128,wd_overlap_32,wd_overlap_8,shift_peak_layer,shift_task_at_peak,shift_generic_at_peak,shift_ratio_at_peak,shift_task_cos_at_peak,shift_task_evr_at_peak,jac_actual_gain_nats,jac_best_cos_layer,jac_best_cos,jac_pred_gain_ratio_at_best_cos,jac_pred_gain_ratio_max
k6_parent,0.412109375,5,0.517578125,0.10546875,0.255,8,0.806,0.551,7.0,0.386,1.0,0.0458984375,0.1308064975722822,12.487647574015941,0.04289001924045349,0.004874101753274963,0.0006783461820518602,6,1.224071590249936,0.1085744366623365,11.274031234965232,0.5381109303558351,0.3294718064797826,8.605454683370503,8,0.1672375411939247,1.2489243817995108,1.2489243817995108
k7_parent,0.412109375,8,0.53125,0.119140625,0.255,8,0.875,0.62,7.0,0.356,1.0,0.046875,0.15472289897911556,12.382451982695597,0.04055819619444906,0.0044788150195584076,0.0006031943167744033,7,1.5029314363779955,0.1187842791149235,12.6526123454764,0.5480612657732811,0.4430163206586867,7.634794517400111,8,0.1914869929456039,2.224448299032539,2.2861692793140587
source_thetaT,0.412109375,5,0.51953125,0.107421875,0.255,8,0.986,0.731,8.0,0.9825,1.0,0.109375,0.19578004039466898,11.078142119783818,0.03773444681500853,0.004559962739958592,0.0007448956123265125,8,1.833280527544049,0.4067853961234217,4.506751090414805,0.4739915666892038,0.2488465557015591,11.85702848762796,8,0.4639489698521279,4.922823859012228,4.922823859012228
