arm,n,run_id,probe_step_first,probe_margin_first,probe_best_layer_first,probe_step_final,probe_margin_final,probe_best_layer_final,probe_floor,probe_margin_max,probe_margin_half_step_frac,wd_rel_fro,wd_effective_rank,wd_overlap_128,wd_overlap_32,wd_overlap_8,shift_peak_layer,shift_task_at_peak,shift_generic_at_peak,shift_ratio_at_peak,shift_task_cos_at_peak,shift_task_evr_at_peak,jac_actual_gain_nats,jac_best_cos_layer,jac_best_cos,jac_pred_gain_ratio_at_best_cos,jac_pred_gain_ratio_max,cp_T0_answer_best_layer,cp_T0_answer_best_rec,cp_T0_answer_first_layer_ge_half,cp_T0_all_best_layer,cp_T0_all_best_rec,cp_T0_all_first_layer_ge_half,cp_0T_answer_min_layer,cp_0T_answer_min_rec,cp_0T_all_min_layer,cp_0T_all_min_rec,gd_n_steps,gd_grad_early_mass_frac,gd_grad_peak_ratio,gd_grad_half_step_frac,gd_disp_frac_at_10pct,gd_disp_half_step_frac,gd_loss_half_step_frac
k6,1000,evt-ts38tr-k6-n1000,1.0,0.555,8.0,163.0,0.637,8.0,0.255,0.637,0.3006134969325153,0.0358919905556441,11.069883275396958,0.0326951564477325,0.0035473324034447,0.0004547725570368,8,0.9584777380015264,0.1206803905613876,7.942282367026055,0.6644470512808023,0.4763177564789154,2.9362306960863087,8,0.2831340975125952,4.997985017163686,4.997985017163686,8,1.0,6,8,1.0,4,8,0.0,8,0.0,185.0,0.226276232460988,3.739717793026789,0.4864864864864865,0.1729268211896868,0.4766224290743589,0.0378378378378378
k7,1000,evt-ts38tr-k7-n1000,1.0,0.619,8.0,199.0,0.696,8.0,0.255,0.696,0.3015075376884422,0.031160481232314,11.141556460638776,0.035573191018981,0.0053924923774455,0.0007960554021716,8,0.8278013372175722,0.154851723377881,5.3457676747807845,0.6082984284805364,0.3859456180709138,4.068171795379822,8,0.3035594727516537,4.008908325658818,4.008908325658818,8,1.0,6,8,1.0,4,8,0.0,8,0.0,215.0,0.4674448593702665,50.33584700439588,0.1255813953488372,0.2191568440614189,0.3355770548832034,0.0325581395348837
k6,2154,evt-ts38tr-k6-n2154,1.0,0.555,8.0,243.0,0.672,8.0,0.255,0.672,0.2469135802469135,0.041671617236762,9.310220019251354,0.032544152190297,0.0034761369714655,0.0004530951470527,8,1.042803644931649,0.1162960343650554,8.966803129832176,0.5912459959057353,0.3612306669597304,3.1030662862196987,8,0.3093492904483882,5.733017315250358,5.733017315250358,8,1.0,6,8,1.0,5,8,0.0,8,0.0,260.0,0.1860365522760139,4.523097894971989,0.473076923076923,0.1611318196599883,0.4271765698032187,0.0269230769230769
k7,2154,evt-ts38tr-k7-n2154,1.0,0.619,8.0,243.0,0.71,8.0,0.255,0.71,0.3004115226337449,0.0333229921103947,10.467086044155984,0.0358513957172203,0.0058790037062972,0.0008630621895289,8,0.8260775103799891,0.1484721759621451,5.56385400178016,0.5839379937221736,0.3544831748029291,4.134372096809957,8,0.3082940798683711,4.094864987341054,4.094864987341054,8,1.0,7,8,1.0,5,8,0.0,8,0.0,250.0,0.3685919577317896,18.745047571216222,0.228,0.2011195859898006,0.3214711180070003,0.028
k6,4642,evt-ts38tr-k6-n4642,1.0,0.555,8.0,297.0,0.688,8.0,0.255,0.688,0.2996632996632997,0.0456573666770891,8.289322443264396,0.0326219647570563,0.0035643124206715,0.0004885572596439,8,1.1618275022740872,0.1179442668269128,9.850648391236415,0.5383645728308851,0.3065560144135587,3.125847173289422,8,0.3214884206455474,6.643388459689319,6.643388459689319,8,1.0,6,8,1.0,5,8,0.0,8,0.0,345.0,0.1732797577414438,5.672508668327111,0.4231884057971014,0.1727656235895675,0.3611082910728949,0.0202898550724637
k7,4642,evt-ts38tr-k7-n4642,1.0,0.619,8.0,199.0,0.713,8.0,0.255,0.713,0.3668341708542713,0.0325436589059372,10.086574920101397,0.0362531799453677,0.0061237048317757,0.0008213567019038,8,0.8344713365910783,0.1408223544506611,5.925702207197834,0.5909240180797781,0.3637855796168656,4.190898586220216,8,0.3104038496134033,4.176731381982,4.176731381982,8,1.0,7,8,1.0,5,8,0.0,8,0.0,235.0,0.3251293055831695,12.698928487676874,0.2893617021276595,0.2187262113214395,0.3252326807431308,0.0297872340425531
k7,46416,evt-ts38tr-k7-n46416,,,,,,,,,,0.0461654289341125,10.000210320951329,0.0388187045593355,0.007803369902298,0.0010375914762379,8,0.8096367901469402,0.121045451136248,6.688700670259952,0.5217431057150292,0.2902814394433741,4.2456825328438725,8,0.3409717322191716,4.351633186245185,4.351633186245185,8,1.0,7,8,1.0,7,8,0.0,8,0.0,880.0,0.2355355584362099,15.13420505183619,0.3306818181818182,0.2916529947336446,0.129129333043312,0.0079545454545454
