model,probe_op_floor,probe_op_best_layer,probe_op_best_acc,probe_op_margin,probe_task_floor,probe_task_best_layer,probe_task_best_acc,probe_task_margin,lens_task_emergence_layer,lens_task_final_top1,lens_op_emergence_layer,lens_op_final_top1,wd_rel_fro,wd_effective_rank,wd_overlap_128,wd_overlap_32,wd_overlap_8,shift_peak_layer,shift_task_at_peak,shift_generic_at_peak,shift_ratio_at_peak,shift_task_cos_at_peak,shift_task_evr_at_peak,jac_actual_gain_nats,jac_best_cos_layer,jac_best_cos,jac_pred_gain_ratio_at_best_cos,jac_pred_gain_ratio_max
theta0,0.412109375,8,0.55859375,0.146484375,0.255,8,0.561,0.30600000000000005,,0.0,1.0,0.177734375,,,,,,,,,,,,,,,,
s7773,0.412109375,8,0.861328125,0.44921875,0.255,8,0.5740000000000001,0.31900000000000006,,0.0,8.0,0.892578125,0.05799951090721969,167.36280608092665,0.36354306722481583,0.12840146385321605,0.03798207572587975,5.0,0.3462352329786543,0.0631460279573677,5.483088076615221,0.9526879527829014,0.908687933056516,1.670884143679812,0.0,0.0349163762930035,0.0039157561244298,0.0040177343863794
s15546,0.412109375,8,0.90625,0.494140625,0.255,8,0.588,0.33299999999999996,,0.0,8.0,0.943359375,0.07226896612668364,177.357234557902,0.3514038615701012,0.1256806413554072,0.037627229947574926,5.0,0.4143910857317345,0.0936456920616722,4.425095021550262,0.9564957751188268,0.915612496640687,2.1219757049361108,0.0,0.024216770992914,0.0031293277805779,0.0318135683956693
s23319,0.412109375,8,0.92578125,0.513671875,0.255,8,0.608,0.353,8.0,0.0005,8.0,0.962890625,0.07943403988473004,189.82134868727877,0.3415402652103182,0.12322380505269413,0.037934070682466924,5.0,0.4507506099700328,0.1135984929810909,3.9679277263393162,0.9549941402171096,0.9124646286071502,2.6535295725489108,0.0,0.0356330672002007,0.0047549632445406,0.1960920373552971
thetaT,0.412109375,8,0.955078125,0.54296875,0.255,8,0.599,0.344,8.0,0.0025,8.0,0.966796875,0.08467360911690841,200.86995197930946,0.3344928361810025,0.12133965542221212,0.0382281696140687,5.0,0.4971081160130314,0.1292568835742238,3.8458927854900247,0.9521327995610664,0.9069967070398068,3.379522109712858,0.0,0.0404527894348905,0.0051371888254658,0.3263662567310063
